nombre,apellido,producto,cantidad,precio_unitario,canal_venta
Camila,Martinez,Quick Linterna,4,4.38,Ecommerce
Juan,Perez,Andino Linterna,2,174.25,CallCenter
Sofia,Hernandez,Sierra Mesa,3,4.83,Ecommerce
Maria,Sanchez,Oro Auriculares,3,120.8,Ecommerce
Camila,Martinez,Selva Balon,5,88.03,CallCenter
Jorge,Ramirez,Cafe Regla,4,121.55,CallCenter
Juan,Lopez,Cafetal Drone,2,57.54,Ecommerce
Ana,Gonzalez,Smart ProtectorSolar,5,62.35,Ecommerce
Maria,Garcia,Nano Agenda,5,3.3,Ecommerce
Andres,Gonzalez,Crystal Maceta,4,28.95,Distribuidor
Ana,Gonzalez,Cacao Maceta,2,142.62,Ecommerce
Juan,Lopez,Andino Tambor,4,12.1,Distribuidor
Juan,Rodriguez,Montana Mochila,2,212.68,Ecommerce
Luisa,Garcia,Fresh Cable,4,5.12,Distribuidor
Luisa,Diaz,Nano Termo,5,30.22,CallCenter
Maria,Ramirez,Andes Cargador,5,31.36,Tienda
Juan,Gonzalez,Cacao Guitarra,1,34.91,Distribuidor
Ana,Lopez,Aqua Bicicleta,3,11.21,CallCenter
Pedro,Martinez,Rio Bicicleta,4,54.44,Marketplace
Jorge,Perez,Oro Silla,1,50.58,CallCenter
Maria,Hernandez,Paisa Tambor,3,72.0,Marketplace
Ana,Ramirez,Crystal Shampoo,4,25.86,Tienda
Sofia,Ramirez,Neo Shampoo,2,144.97,Ecommerce
Luisa,Gonzalez,Cordillera Patin,3,26.87,Marketplace
Luisa,Martinez,Plus Archivador,5,10.11,Ecommerce
Maria,Lopez,Omega Drone,1,140.48,CallCenter
Sofia,Hernandez,Power Estante,3,22.27,Tienda
Carlos,Sanchez,Fresh Crema,3,125.43,Marketplace
Sofia,Perez,Quick Teclado,5,22.78,Ecommerce
Sofia,Gonzalez,Prime Balanza,4,12.8,Tienda
Camila,Perez,Silver Gorra,2,15.45,Marketplace
Luisa,Ramirez,Oro Sarten,5,62.7,Tienda
Maria,Diaz,Smart Talonario,2,58.63,CallCenter
Jorge,Lopez,Pacifica Lampara,4,170.4,CallCenter
Ana,Gonzalez,Elite Pegante,3,71.78,Ecommerce
Sofia,Lopez,Andes Lampara,2,279.12,Ecommerce
Juan,Ramirez,Bright Carpeta,1,65.12,Distribuidor
Maria,Sanchez,Llanero Guitarra,1,69.89,Distribuidor
Juan,Lopez,Omega Telefono,5,108.35,Tienda
Camila,Gonzalez,Bosque Webcam,4,35.06,Ecommerce
Luisa,Rodriguez,Opti Muñeco,5,216.66,Tienda
Jorge,Diaz,Nova Balanza,5,22.11,Distribuidor
Sofia,Gonzalez,Fresh Router,5,177.39,CallCenter
Jorge,Garcia,Elite Cargador,1,2.0,Ecommerce
pedro,martinez,Cafe Camisa,1,33.93,CallCenter
Maria,Hernandez,Flex Cereal,5,82.87,Distribuidor
Pedro,Rodriguez,Royal Mesa,1,150.93,Ecommerce
Jorge,Hernandez,Pacifica Teclado,4,39.97,Marketplace
Andres,Sanchez,Golden Cepillo,5,178.31,Ecommerce
Sofia,Rodriguez,Andino Cinta,1,181.56,Marketplace
Pedro,Ramirez,Crystal Toalla,2,4.46,Ecommerce
Juan,Gonzalez,Aero Marcador,5,95.71,Ecommerce
Sofia,Sanchez,Power Muñeco,5,54.59,Ecommerce
Camila,Hernandez,Mini Telefono,4,285.83,Ecommerce
Luisa,Rodriguez,Cafe Papel,3,34.88,Ecommerce
Carlos,Lopez,Elite Pegante,3,71.78,Distribuidor
Andres,Lopez,Fresh Linterna,4,140.62,Distribuidor
Luisa,Martinez,Smart PowerBank,4,11.83,CallCenter
Andres,Perez,Aqua Crema,4,155.76,CallCenter
Andres,Garcia,Pro Archivador,3,35.95,CallCenter
Jorge,Sanchez,Montana Carpeta,4,193.8,Tienda
Ana,Garcia,Sierra Balon,1,27.55,Distribuidor
Pedro,Gonzalez,Andino Shampoo,5,23.14,Tienda
Carlos,Gonzalez,Pro PowerBank,5,113.17,CallCenter
Ana,Martinez,Oro Switch,2,71.04,CallCenter
Jorge,Perez,Cacao Jabon,2,414.93,CallCenter
Sofia,Garcia,Royal Parlante,5,13.64,Marketplace
Maria,Martinez,Llanero Webcam,1,24.15,Ecommerce
Carlos,Sanchez,Silver Copa,3,166.51,Marketplace
Luisa,Garcia,Magna Archivador,3,3.44,Marketplace
Jorge,Sanchez,Sierra Patin,1,53.05,CallCenter
Camila,Diaz,Golden Archivador,3,42.37,Marketplace
Andres,Diaz,Max Carpa,4,97.09,Marketplace
Camila,Lopez,Bright Carpa,5,88.29,Ecommerce
Carlos,Ramirez,Cordillera Regla,5,40.46,Marketplace
Maria,Gonzalez,Crystal PowerBank,1,114.48,CallCenter
pedro,sanchez,Active Crema,3,408.41,CallCenter
Camila,Martinez,Smart Plato,2,279.16,Distribuidor
Jorge,Sanchez,Fresh Parlante,2,168.45,Distribuidor
Ana,Rodriguez,Bosque Cuchillo,3,265.64,Tienda
Jorge,Martinez,Plus Lampara,2,223.33,CallCenter
Jorge,Diaz,Cacao Carpa,1,21.64,Distribuidor
Luisa,Sanchez,Oro Toalla,1,16.76,Tienda
Camila,Diaz,Montana Tenedor,3,12.57,Ecommerce
Carlos,Perez,Royal Galleta,2,41.35,Ecommerce
Maria,Martinez,Montana Maceta,1,26.7,Tienda
Carlos,Lopez,Royal Marcador,1,191.18,Marketplace
Juan,Martinez,Bosque Mouse,4,172.98,Ecommerce
Carlos,Diaz,Lite Patin,4,46.14,Distribuidor
Juan,Perez,Selva Patin,1,193.54,Marketplace
Sofia,Ramirez,Lite Regla,3,60.86,Ecommerce
Ana,Rodriguez,Royal Chocolate,5,11.26,Distribuidor
Carlos,Gonzalez,Lite Mesa,5,170.29,Tienda
Luisa,Garcia,Omega Colchoneta,1,111.5,Distribuidor
Andres,Martinez,Andino Sacapuntas,1,5.61,Marketplace
Sofia,Hernandez,Opti Silla,1,621.14,Ecommerce
Luisa,Garcia,Lago Rompecabezas,3,40.05,Ecommerce
Juan,Ramirez,Oro Rompecabezas,4,701.23,Marketplace
Ana,Rodriguez,Pacifica Regla,1,99.08,CallCenter
Sofia,Lopez,Power Cereal,1,200.84,CallCenter
Juan,Lopez,Cafe Bicicleta,2,57.16,CallCenter
Luisa,Martinez,Rio Linterna,3,145.56,Distribuidor
Jorge,Garcia,Active Cereal,1,132.84,Tienda
Maria,Martinez,Sabana Cereal,2,107.97,Ecommerce
Juan,Gonzalez,Sabana Patin,5,46.1,Distribuidor
Carlos,Hernandez,Sierra Afeitadora,1,175.91,Marketplace
